,resort_name,country,province,rating,lowest_point,highest_point,blue_runs,red_runs,black_runs,ski_lifts,price
2044, Veľké Ostré ,Slovakia,Žilina (Žilinský kraj),4.2,550 m,640 m,0.2 km,0.5 km,0 km,2 ski lifts,"€ 14,-"
2045, Vardåsen – Borgen (Asker) ,Norway,Akershus,5,150 m,306 m,0.1 km,0.6 km,0 km,1 ski lift,"NOK 280,- / approx. € 25,-"
2046, Savivuori – Viitasaari ,Finland,West Finland (Länsi-Suomi),5,99 m,169 m,0.4 km,0.2 km,0 km,1 ski lift,"€ 25,-"
2047, Talma ,Finland,Southern Finland (Etelä-Suomi),3.3,28 m,63 m,0.5 km,0.3 km,0 km,5 ski lifts,"€ 32,-"
2048, Frankenlift – Wurzbach ,Germany,Thuringia (Thüringen),5,550 m,620 m,0.5 km,0.3 km,0 km,1 ski lift,"€ 12,-"
2049, Engi ,Switzerland,Eastern Switzerland,5,789 m,882 m,0.4 km,0.4 km,0 km,1 ski lift,"SFr. 14,- / approx. € 13,-"
2050, Jalovec ,Czech Republic,Vysočina Region (Kraj Vysočina),2,510 m,605 m,0.2 km,0.6 km,0 km,2 ski lifts,"CZK 500,- / approx. € 18,-"
2051, Horní Vltavice ,Czech Republic,South Bohemian Region (Jihočeský kraj),2,870 m,980 m,0.8 km,0.2 km,0 km,3 ski lifts,"CZK 330,- / approx. € 12,-"
2052, Baienberg – Reuthe ,Austria,Vorarlberg,2,650 m,810 m,0 km,0.3 km,0.4 km,1 ski lift,€ 12.50
2053, Getberget ,Sweden,Northern Sweden (Norrland),2,208 m,348 m,0.5 km,0.2 km,0 km,2 ski lifts,"Skr 100,- / approx. € 10,-"
2054,,Czech Republic,Moravian-Silesian Region (Moravskoslezský kraj),2,504 m,662 m,0.3 km,0.6 km,0 km,1 ski lift,
2055, Jannebacken – Stugun ,Sweden,Northern Sweden (Norrland),2,240 m,340 m,0.5 km,0.3 km,0 km,1 ski lift,
2056, Avasaxa – Dorotea ,Sweden,Northern Sweden (Norrland),2,330 m,420 m,0.5 km,0.2 km,0 km,1 ski lift,
2057, Ramensteinhang – Nattheim ,Germany,Baden-Württemberg,2,551 m,601 m,0.4 km,0.3 km,0 km,1 ski lift,
2058, Kohleck (Waldzell) ,Austria,Upper Austria (Oberösterreich),2,655 m,740 m,0.5 km,0.3 km,0 km,1 ski lift,
2059, Fischbach (Ummendorf) ,Germany,Southern Germany,2,580 m,650 m,0.4 km,0.3 km,0 km,1 ski lift,
2060, Durmitor ,Montenegro,None,2,1485 m,1953 m,1 km,0.4 km,0.2 km,2 ski lifts,
2061, Kütiorg ,Estonia,Võru,2,110 m,185 m,0.5 km,0.3 km,0.2 km,3 ski lifts,
2062, Höllkreuz – Höllhöhe (Neukirchen b. Hl. Blut) ,Germany,Bavaria (Bayern),2,600 m,750 m,0.4 km,0.3 km,0 km,1 ski lift,
2063, Stana de Vale ,Romania,Bihor,2,1089 m,1167 m,0.2 km,0.6 km,0 km,2 ski lifts,
2064, Ruunarinteet ,Finland,East Finland (Pohjois- ja Itä-Suomi),2,90 m,175 m,1.4 km,0.6 km,0.5 km,2 ski lifts,
2065, Šindelná ,Czech Republic,Olomouc Region (Olomoucký kraj),2,650 m,800 m,0.3 km,0.5 km,0 km,3 ski lifts,
2066, Kiev – Protasov yar ,Ukraine,None,2,142 m,180 m,0.5 km,0.3 km,0 km,2 ski lifts,
2067,,Slovakia,Žilina (Žilinský kraj),2,780 m,1060 m,0.4 km,1.2 km,0.9 km,4 ski lifts,
2068, Krinau ,Switzerland,Eastern Switzerland,2,820 m,908 m,0.4 km,0.2 km,0 km,1 ski lift,
2069, Schönheide – Stützengrün ,Germany,Saxony (Sachsen),2,585 m,638 m,0.5 km,0.3 km,0 km,1 ski lift,
2070, Vallberget – Strömsund ,Sweden,Northern Sweden (Norrland),2,297 m,364 m,0.4 km,0.3 km,0 km,1 ski lift,
2071, Ski-Club Rhön Fulda – Schwedenschanze (Simmelsberg) ,Germany,Hesse (Hessen),2,734 m,813 m,0.5 km,0.3 km,0 km,1 ski lift,
2072, Ersteberg – Masserberg ,Germany,Thuringia (Thüringen),2,730 m,830 m,0.6 km,0.1 km,0 km,1 ski lift,
