"","country","highest_point","blue_runs","red_runs","black_runs","ski_lifts","price","elevation_length"
"384","Austria",1821,3,55,5,5,42,671
"385","Austria",1589,25,25,0,3,39,700
"386","Austria",2700,0,4,1,5,40.5,436
"387","Austria",2200,7,27,2,9,44,650
"388","Germany",1800,36,74,0,7,39,1170
"389","Italy",2307,105,4,5,2,28,577
"390","Austria",2000,6,9,2,8,40,1230
"391","Italy",2700,14,32,4,5,22.2,1365
"392","Spain",2310,20,15,5,14,36,565
"393","France",1610,30,17,3,23,26,687
"394","Switzerland",1900,175,8,45,9,46,650
"395","Austria",1608,6,11,3,6,40,508
"396","Bulgaria",1926,176,65,55,13,30,306
"397","Sweden",1119,19,9,2,10,42,665
"398","Italy",2073,45,7,15,5,39.5,1193
"399","Italy",2246,6,12,2,5,27.2,731
"400","Switzerland",2001,15,25,0,14,48,801
"401","Switzerland",2400,12,13,2,4,46,1050
"402","France",2100,8,15,4,10,19,700
"403","Spain",2421,107,117,43,6,34,771
"404","France",2140,20,13,2,11,23.4,690
"405","Germany",2720,7,13,0,10,49.5,720
"406","Germany",730,3,34,16,8,28,125
"407","Italy",2064,7,10,2,5,26,884
"408","Italy",2000,35,2,28,2,59,790
"409","France",2184,36,17,2,15,28.5,817
"410","Germany",1030,2,2,5,3,23,310
"411","Italy",2500,2,9,3,5,34,1060
"412","France",2270,13,16,0,13,55,817
"413","Italy",2056,4,9,7,7,35,551
"414","Switzerland",2525,17,20,3,6,40.8,917
"415","Romania",2090,34,117,28,9,30,1084
"416","France",2100,20,14,6,15,32.5,1000
"417","Switzerland",1630,105,10,8,7,36,650
"418","France",2450,15,15,3,6,29.8,1000
"419","Sweden",407,13,8,2,12,39,275
"420","Switzerland",2640,15,20,0,6,49,1145
"421","Slovenia",1287,9,6,3,8,33,352
"422","Austria",2070,10,11,3,6,35,548
"423","Switzerland",1750,14,5,1,5,37,700
"424","Norway",1188,17,5,3,13,42,1008
"425","France",1463,196,18,24,18,28.5,463
"426","France",1500,15,12,3,12,26.95,600
"427","Romania",1868,23,155,19,12,23,738
"428","Austria",2026,4,3,2,4,33,973
"429","Switzerland",2256,1,15,14,7,36.6,1081
"430","France",2355,7,17,2,12,31.5,945
"431","Italy",1611,13,12,10,8,24,513
"432","Italy",2163,4,16,2,7,30,1003
"433","Norway",1178,18,12,42,18,44,378
"434","France",2322,20,13,7,8,29,472
"435","Italy",2742,105,10,0,8,58,920
"436","Italy",1877,10,7,3,4,22.8,472
"437","Bulgaria",2560,24,29,5,13,32,1260
"438","Italy",1584,4,5,1,3,37.5,573
"439","Austria",1325,4,6,1,6,35.5,255
"440","Italy",1738,48,216,22,5,35,1036
"441","France",3000,9,195,35,10,29.8,1150
"442","France",2200,25,7,3,12,27,700
"443","France",1800,6,21,1,10,25.9,850
"444","Bulgaria",2290,12,6,2,15,20,950
"445","Northwest Russia",1047,135,85,47,8,17,667
"446","Switzerland",2680,2,34,6,6,39,1300
"447","Switzerland",1571,9,9,2,4,38,547
"448","Sweden",665,18,5,9,19,41,245
"449","Bulgaria",1873,83,53,0,3,30,718
"450","Italy",3000,51,218,26,7,27,1673
"451","Slovenia",1217,4,6,2,4,28,637
"452","Austria",1522,1,5,1,2,35.9,962
"453","Italy",1865,35,12,15,6,39.5,620
"454","Italy",2270,8,3,2,3,32,732
"455","Austria",1900,72,59,6,6,35,1250
"456","Austria",1600,13,8,2,10,43,980
"457","Italy",1583,68,108,44,5,36,323
"458","Norway",1003,8,10,2,5,37,903
"459","Italy",2040,64,62,12,6,54,711
"460","France",1840,30,10,1,14,33.5,640
"461","Italy",2023,6,4,2,2,28,675
"462","Spain",2036,14,6,1,11,35,552
"463","United Kingdom",1221,7,10,3,12,39,566
"464","Switzerland",2176,8,8,4,5,39,1006
"465","France",2400,183,105,28,6,21,570
"466","Sweden",1125,13,9,5,8,35,492
"467","North Macedonia",2525,6,7,7,9,20,817
"468","Italy",3450,8,1,0,6,49,690
"469","Germany",1116,18,53,9,6,25,281
"470","Austria",1840,1,8,2,3,33.5,855
"471","Germany",1356,6,2,0,2,26,262
"472","Austria",1267,95,3,15,5,38,403
"473","France",2153,134,10,16,10,36,626
"474","Switzerland",2338,7,10,3,5,40,998
"475","Austria",1626,7,7,15,4,38,826
"476","France",1533,3,119,3,6,32,533
"477","Italy",2064,211,54,35,5,31,404
"478","Spain",2120,136,109,32,13,34,470
"479","Austria",1600,57,76,37,8,37.5,920
"480","France",1140,24,14,2,19,28.9,370
"481","Sweden",567,17,5,1,19,40,415
"482","France",1800,22,6,2,7,22,350
"483","Austria",1567,235,10,5,8,37.5,817
"484","Czech Republic",1260,31,109,1,11,32,660
"485","Germany",1210,101,73,6,9,34,460
"486","Switzerland",2569,10,12,1,3,40,1181
"487","Sweden",1038,20,15,3,16,45,295
"488","Serbia",1495,16,42,12,4,19,395
"489","Austria",1808,55,10,35,7,39.5,428
"490","North Caucasus",3260,6,10,4,5,28.9,1140
"491","Italy",1610,72,51,3,5,57,435
"492","Norway",1250,131,3,38,6,40,675
"493","Slovenia",1800,95,125,0,9,33,1231
"494","Italy",2028,15,5,1,3,22,633
"495","France",2300,137,8,13,7,23,1050
"496","Austria",1200,44,16,3,5,36.5,488
"497","France",1678,176,87,24,21,32.4,541
"498","Italy",1872,16,161,22,5,35,455
"499","Austria",1560,6,6,0,7,30,600
"500","Austria",2023,5,113,42,4,50,1355
"501","Italy",1733,22,119,41,4,36,320
"502","Germany",1338,6,5,66,12,38,479
"503","Switzerland",1941,36,37,16,5,69,895
"504","France",2146,20,8,2,8,24.5,586
"505","France",2800,20,12,1,16,29.8,1050
"506","Italy",2235,36,45,5,4,27,1120
"507","Sweden",1000,76,94,8,9,41,300
"508","France",2050,18,15,7,12,25.3,500
"509","Italy",2235,3,13,0,3,28,432
"510","France",1920,16,12,2,7,19,500
"511","Switzerland",1868,95,5,3,5,45,884
"512","Spain",1840,12,10,3,8,28,385
"513","France",1912,8,7,4,12,24.5,912
"514","Italy",2400,5,8,7,3,21,1067
"515","Italy",2450,7,11,3,3,30,810
"516","Serbia",2169,7,3,3,5,19,694
"517","Greece",2232,6,9,5,9,5,582
"518","Italy",1675,7,12,4,5,28,625
"519","North Macedonia",1860,17,3,5,14,18,605
"520","France",2500,12,12,1,6,29.8,850
"521","Sweden",830,26,3,3,18,37,387
"522","Czech Republic",1028,10,11,9,6,25,307
"523","Czech Republic",1095,55,53,7,4,27,521
"524","Montenegro",1907,19.8,8.4,3.6,1,17.8,337
"525","Slovenia",1480,12,10,1,6,29.5,940
"526","Norway",1140,9,17,6,10,39,335
"527","Austria",2248,34,78,1,5,37,818
"528","Bosnia and Herzegovina",1281,107,14,4,3,13,361
"529","Spain",2030,68,95,45,7,30,390
"530","Switzerland",2002,19,4,7,5,33,902
"531","Austria",2271,61,35,1,6,40,946
"532","Switzerland",1500,5,46,4,4,37,615
"533","Czech Republic",1315,76,47,14,8,26,658
"534","Italy",1945,5,7,2,6,33,527
"535","Italy",2480,10,8,2,2,18,850
"536","Austria",1605,68,41,0,4,29,830
"537","Italy",2250,3,10,84,5,33,1200
"538","United Kingdom",900,24,10,6,21,35,250
"539","Austria",1426,7,8,4,6,40,614
"540","France",2400,128,69,28,15,30,760
"541","Germany",1475,7,4,1,4,31,849
"542","Slovenia",2292,42,63,0,10,39.5,1189
"543","France",2320,15,6,1,7,32.5,590
"544","Romania",1783,58,28,51,10,31,842
"545","Norway",735,10,3,2,5,37,473
"546","Switzerland",2500,105,65,35,6,41,1300
"547","Sweden",1005,4,4,2,5,41,315
"548","Czech Republic",940,69,35,0,6,22,255
"549","Austria",1800,25,25,0,2,40.5,600
"550","Slovakia",1041,5,6,1,6,33,389
"551","Italy",2028,2,18,0,4,30,766
"552","Italy",2002,6,6,6,3,29,484
"553","Switzerland",2289,10,17,3,9,52,1039
"554","Switzerland",2980,20,18,9,6,37,980
"555","Romania",1451,18,44,12,2,29,411
"556","Slovakia",1209,3,75,15,9,32,664
"557","Italy",1860,94,68,1,2,20,880
"558","Italy",1621,10,8,2,7,32,392
"559","France",1982,10,12,2,8,22.1,722
"560","United Kingdom",1070,7,10,73,8,39,710
"561","Slovakia",1532,2,9,4,13,34,931
"562","Spain",2368,86,182,0,3,29,378
"563","Austria",1887,95,24,21,3,34,535
"564","Poland",1987,35,115,0,4,28,973
"565","Germany",1050,2,5,1,8,19.5,210
